time_s, gt_x, gt_y, gt_th, est_x, est_y, est_th, df, ds, dr
0,0,0.1507,0,0,0.1507,0,63.78,0,0
0.01,0,0.3013,0,0,0.3013,0,63.78,0,0
0.02,0,0.452,0,0,0.452,0,63.78,0,0
0.03,0,0.6026,0,0,0.6026,0,63.78,0,0
0.04,0,0.7533,0,0,0.7533,0,63.78,0,0
0.05,0,0.904,0,0,0.904,0,63.78,0,0
0.06,0,1.0546,0,0,1.0546,0,63.78,0,0
0.07,0,1.2053,0,0,1.2053,0,63.78,0,0
0.08,0,1.3559,0,0,1.3559,0,63.78,0,0
0.09,0,1.5066,0,0,1.5066,0,63.78,0,0
0.1,0,1.6573,0,0,1.6573,0,63.78,0,0
0.11,0,1.8079,0,0,1.8079,0,63.78,0,0
0.12,0,1.9586,0,0,1.9586,0,63.78,0,0
0.13,0,2.1092,0,0,2.1092,0,63.78,0,0
0.14,0,2.2599,0,0,2.2599,0,63.78,0,0
0.15,0,2.4106,0,0,2.4106,0,63.78,0,0
0.16,0,2.5612,0,0,2.5612,0,63.78,0,0
0.17,0,2.7119,0,0,2.7119,0,63.78,0,0
0.18,0,2.8625,0,0,2.8625,0,63.78,0,0
0.19,0,3.0132,0,0,3.0132,0,63.78,0,0
0.2,0,3.1639,0,0,3.1639,0,63.78,0,0
0.21,0,3.3145,0,0,3.3145,0,63.78,0,0
0.22,0,3.4652,0,0,3.4652,0,63.78,0,0
0.23,0,3.6158,0,0,3.6158,0,63.78,0,0
0.24,0,3.7665,0,0,3.7665,0,63.78,0,0
0.25,0,3.9172,0,0,3.9172,0,63.78,0,0
0.26,0,4.0678,0,0,4.0678,0,63.78,0,0
0.27,0,4.2185,0,0,4.2185,0,63.78,0,0
0.28,0,4.3691,0,0,4.3691,0,63.78,0,0
0.29,0,4.5198,0,0,4.5198,0,63.78,0,0
0.3,0,4.6705,0,0,4.6705,0,63.78,0,0
0.31,0,4.8211,0,0,4.8211,0,63.78,0,0
0.32,0,4.9718,0,0,4.9718,0,63.78,0,0
0.33,0,5.1225,0,0,5.1225,0,63.78,0,0
0.34,0,5.2731,0,0,5.2731,0,63.78,0,0
0.35,0,5.4238,0,0,5.4238,0,63.78,0,0
0.36,0,5.5744,0,0,5.5744,0,63.78,0,0
0.37,0,5.7251,0,0,5.7251,0,63.78,0,0
0.38,0,5.8758,0,0,5.8758,0,63.78,0,0
0.39,0,6.0264,0,0,6.0264,0,63.78,0,0
0.4,0,6.1771,0,0,6.1771,0,63.78,0,0
0.41,0,6.3277,0,0,6.3277,0,63.78,0,0
0.42,0,6.4784,0,0,6.4784,0,63.78,0,0
0.43,0,6.6291,0,0,6.6291,0,63.78,0,0
0.44,0,6.7797,0,0,6.7797,0,63.78,0,0
0.45,0,6.9304,0,0,6.9304,0,63.78,0,0
0.46,0,7.081,0,0,7.081,0,63.78,0,0
0.47,0,7.2317,0,0,7.2317,0,63.78,0,0
0.48,0,7.3824,0,0,7.3824,0,63.78,0,0
0.49,0,7.533,0,0,7.533,0,63.78,0,0
0.5,0,7.6837,0,0,7.6837,0,63.78,0,0
0.51,0,7.8343,0,0,7.8343,0,63.78,0,0
0.52,0,7.985,0,0,7.985,0,63.78,0,0
0.53,0,8.1357,0,0,8.1357,0,63.78,0,0
0.54,0,8.2863,0,0,8.2863,0,63.78,0,0
0.55,0,8.437,0,0,8.437,0,63.78,0,0
0.56,0,8.5876,0,0,8.5876,0,63.78,0,0
0.57,0,8.7383,0,0,8.7383,0,63.78,0,0
0.58,0,8.889,0,0,8.889,0,63.78,0,0
0.59,0,9.0396,0,0,9.0396,0,63.78,0,0
0.6,0,9.1903,0,0,9.1903,0,63.78,0,0
0.61,0,9.3409,0,0,9.3409,0,63.78,0,0
0.62,0,9.4916,0,0,9.4916,0,63.78,0,0
0.63,0,9.6423,0,0,9.6423,0,63.78,0,0
0.64,0,9.7929,0,0,9.7929,0,63.78,0,0
0.65,0,9.9436,0,0,9.9436,0,63.78,0,0
0.66,0,10.0942,0,0,10.0942,0,63.78,0,0
0.67,0,10.2449,0,0,10.2449,0,63.78,0,0
0.68,0,10.3956,0,0,10.3956,0,63.78,0,0
0.69,0,10.5462,0,0,10.5462,0,63.78,0,0
0.7,0,10.6969,0,0,10.6969,0,63.78,0,0
0.71,0,10.8475,0,0,10.8475,0,63.78,0,0
0.72,0,10.9982,0,0,10.9982,0,63.78,0,0
0.73,0,11.1489,0,0,11.1489,0,63.78,0,0
0.74,0,11.2995,0,0,11.2995,0,63.78,0,0
0.75,0,11.4502,0,0,11.4502,0,63.78,0,0
0.76,0,11.6008,0,0,11.6008,0,63.78,0,0
0.77,0,11.7515,0,0,11.7515,0,63.78,0,0
0.78,0,11.9022,0,0,11.9022,0,63.78,0,0
0.79,0,12.0528,0,0,12.0528,0,63.78,0,0
0.8,0,12.2035,0,0,12.2035,0,63.78,0,0
0.81,0,12.3541,0,0,12.3541,0,63.78,0,0
0.82,0,12.5048,0,0,12.5048,0,63.78,0,0
0.83,0,12.6555,0,0,12.6555,0,63.78,0,0
0.84,0,12.8061,0,0,12.8061,0,63.78,0,0
0.85,0,12.9568,0,0,12.9568,0,63.78,0,0
0.86,0,13.1074,0,0,13.1074,0,63.78,0,0
0.87,0,13.2581,0,0,13.2581,0,63.78,0,0
0.88,0,13.4088,0,0,13.4088,0,63.78,0,0
